CAT_SUBJECTCODE,CAT_TITLE,SUPERCAT_SUBJECTCODE,SUPERCAT_TITLE
"P33000","Statistical Physics, Dynamical Systems and Complexity","P","Physics"
"P19048","Quantum Field Theories, String Theory","P19005","Theoretical, Mathematical and Computational Physics"
"P19013","Mathematical Methods in Physics","P19005","Theoretical, Mathematical and Computational Physics"
"P19021","Numerical and Computational Physics","P19005","Theoretical, Mathematical and Computational Physics"
"P19070","Classical and Quantum Gravitation, Relativity Theory","P19005","Theoretical, Mathematical and Computational Physics"
"P19080","Classical and Quantum Gravitation, Relativity Theory","P19005","Theoretical, Mathematical and Computational Physics"
"P19090","Statistical Physics and Dynamical Systems","P19005","Theoretical, Mathematical and Computational Physics"
"P21069","Acoustics","P2100X","Classical Continuum Physics"
"P21018","Mechanics","P2100X","Classical Continuum Physics"
"P21070","Optics and Electrodynamics","P2100X","Classical Continuum Physics"
"P21050","Thermodynamics","P2100X","Classical Continuum Physics"
"P21026","Fluid- and Aerodynamics","P2100X","Classical Continuum Physics"
"P22080","Theoretical Astrophysics","P22006","Astronomy, Astrophysics and Cosmology"
"P22049","Cosmology","P22006","Astronomy, Astrophysics and Cosmology"
"P22060","Planetary Sciences","P22006","Astronomy, Astrophysics and Cosmology"
"P22070","Solar and Heliospheric Physics","P22006","Astronomy, Astrophysics and Cosmology"
"P22014","Astronomy, Observations and Techniques","P22006","Astronomy, Astrophysics and Cosmology"
"P22022","Astrophysics and Astroparticles","P22006","Astronomy, Astrophysics and Cosmology"
"P22030","Extraterrestrial Physics, Space Sciences","P22006","Astronomy, Astrophysics and Cosmology"
"P22057","Astrobiology","P22006","Astronomy, Astrophysics and Cosmology"
"P23010","Nuclear Physics, Heavy Ions, Hadrons","P23002","Particle and Nuclear Physics"
"P23045","Nuclear Fusion","P23002","Particle and Nuclear Physics"
"P23037","Particle Acceleration and Detection, Beam Physics","P23002","Particle and Nuclear Physics"
"P23029","Elementary Particles, Quantum Field Theory","P23002","Particle and Nuclear Physics"
"P24040","Plasma Physics","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P24017","Atomic/Molecular Structure and Spectra","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P24050","Quantum Optics","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P24033","Quantum Gases and Condensates","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P24025","Atoms and Molecules in Strong Fields, Laser Matter Interaction","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P25130","Low Temperature Physics","P25005","Condensed Matter Physics"
"P25140","Nanoscale Science and Technology","P25005","Condensed Matter Physics"
"P25150","Semiconductors","P25005","Condensed Matter Physics"
"P25160","Surface and Interface Science, Thin Films","P25005","Condensed Matter Physics"
"P25129","Magnetism, Magnetic Materials","P25005","Condensed Matter Physics"
"P25021","Soft and Granular Matter, Complex Fluids and Microfluidics","P25005","Condensed Matter Physics"
"P25056","Crystallography","P25005","Condensed Matter Physics"
"P25064","Strongly Correlated Systems, Superconductivity","P25005","Condensed Matter Physics"
"P25099","Phase Transitions and Multiphase Systems","P25005","Condensed Matter Physics"
"P25013","Solid State Physics","P25005","Condensed Matter Physics"
"P27060","Medical and Radiation Physics","P27008","Biophysics and Biological Physics"
"P27010","Single Molecule Studies, Molecular Motors","P27008","Biophysics and Biological Physics"
"P27050","Biological Networks, Systems Biology","P27008","Biophysics and Biological Physics"
"P27030","Membranes","P27008","Biophysics and Biological Physics"
"P27040","Physics of the Cell","P27008","Biophysics and Biological Physics"
"P27020","Multicellular Systems","P27008","Biophysics and Biological Physics"
"Q36000","Popular Science in Technology","Q","Popular Science"
"Q18003","Popular Science in Psychology","Q","Popular Science"
"Q38000","Popular Science in Sports","Q","Popular Science"
"Q19000","Popular Science in Chemistry and Materials","Q","Popular Science"
"Q21000","Popular Science in Philosophy","Q","Popular Science"
"Q22000","Popular Earth Science","Q","Popular Science"
"Q23000","Popular Computer Science","Q","Popular Science"
"Q24000","Popular Science in Geography","Q","Popular Science"
"Q25000","Popular Life Siences","Q","Popular Science"
"Q26000","Popular Science in Mathematics","Q","Popular Science"
"Q27000","Popular Science in Linguistics","Q","Popular Science"
"Q28000","Popular Science in Education","Q","Popular Science"
"Q29000","Popular Science in Physics","Q","Popular Science"
"Q31000","Popular Science in Law","Q","Popular Science"
"Q32000","Popular Science in Statistics","Q","Popular Science"
"Q33000","Popular Science in Humanities/Arts","Q","Popular Science"
"Q34000","Popular Science in Economics/Management","Q","Popular Science"
"Q35000","Popular Science in Energy","Q","Popular Science"
"Q39000","Popular Science in Literature","Q","Popular Science"
"Q41000","Popular Science in Political Science and International Relations","Q","Popular Science"
"Q42000","Popular Science in Business and Management","Q","Popular Science"
"Q43000","Popular Science in Finance","Q","Popular Science"
"Q00007","Popular Science, general","Q","Popular Science"
"Q11009","Popular Science in Astronomy","Q","Popular Science"
"Q14008","Popular Science in Medicine and Health","Q","Popular Science"
"Q16000","Popular Science in Nature and Environment","Q","Popular Science"
"Q37000","Popular Social Sciences","Q","Popular Science"
"R21000","International Sports Law","R","Law"
"R22000","Dispute Resolution, Mediation, Arbitration","R","Law"
"R14002","Private International Law, International & Foreign Law, Comparative Law","R","Law"
"R15009","Media Law","R","Law"
"R13006","Criminal Law","R","Law"
"R17001","Public Law","R","Law"
"R00001","Law, general","R","Law"
"R11003","Fundamentals of Law","R","Law"
"R1200X","Civil Law","R","Law"
"R16005","Medical Law","R","Law"
"R19000","Public International Law","R00001","Law, general"
"R20000","European Law","R00001","Law, general"
"R11011","Theories of Law, Philosophy of Law, Legal History","R11003","Fundamentals of Law"
"R12040","Property and Land Law","R1200X","Civil Law"
"R12050","Family Law","R1200X","Civil Law"
"R12060","Tort Law","R1200X","Civil Law"
"R12070","Contract Law","R1200X","Civil Law"
"R12034","Civil Procedure Law","R1200X","Civil Law"
"R12090","Equity and Trust","R1200X","Civil Law"
"R12018","Labour Law/Social Law","R1200X","Civil Law"
"R12026","Commercial Law","R1200X","Civil Law"
"R12080","Company Law","R1200X","Civil Law"
"R17044","Financial Law/Fiscal Law","R17001","Public Law"
"R17036","Administrative Law","R17001","Public Law"
"R17028","Constitutional Law","R17001","Public Law"
"R19070","International Environmental Law","R19000","Public International Law"
"R19060","Law of the Sea, Air and Outer Space","R19000","Public International Law"
"R19010","Sources and Subjects of International Law, International Organizations","R19000","Public International Law"
"R19040","International Criminal Law","R19000","Public International Law"
"R19030","International Humanitarian Law, Law of Armed Conflict","R19000","Public International Law"
"R19020","Human Rights","R19000","Public International Law"
"R19050","International Economic Law, Trade Law","R19000","Public International Law"
"S12008","Statistics and Computing/Statistics Programs","S","Statistics"
"S16003","Statistics for Social Science, Education, Public Policy, and Law","S","Statistics"
"S15007","Statistics for Life Sciences, Medicine, Health Sciences","S","Statistics"
"S13004","Statistics for Business/Economics/Mathematical Finance/Insurance","S","Statistics"
"S11001","Statistical Theory and Methods","S","Statistics"
"S14000","Statistics for Engineering, Physics, Computer Science, Chemistry & Geosciences","S","Statistics"
"S0000X","Statistics, general","S","Statistics"
"S18000","Bayesian Probability","S0000X","Statistics, general"
"S17000","Applied Statistics","S0000X","Statistics, general"
"T28000","Materials Engineering","T","Engineering"
"T29000","History of Technology","T","Engineering"
"T13009","Job Career in Science and Engineering","T","Engineering"
"T24000","Electrical Engineering","T","Engineering"
"T2700X","Biomedical Engineering","T","Engineering"
"T23004","Civil Engineering","T","Engineering"
"T22008","Industrial and Production Engineering","T","Engineering"
"T17004","Mechanical Engineering","T","Engineering"
"T15001","Theoretical and Applied Mechanics","T","Engineering"
"T11006","Appl.Mathematics/Computational Methods of Engineering","T","Engineering"
"T00004","Engineering, general","T","Engineering"
"T30000","Mechanical Statics and Structures","T00004","Engineering, general"
"T16000","Engineering Acoustics","T00004","Engineering, general"
"T19000","Control , Robotics, Mechatronics","T00004","Engineering, general"
"T14000","Engineering Thermodynamics, Heat and Mass Transfer","T00004","Engineering, general"
"T18000","Nanotechnology and Microengineering","T00004","Engineering, general"
"T11014","Computational Intelligence","T11006","Appl.Mathematics/Computational Methods of Engineering"
"T11022","Complexity","T11006","Appl.Mathematics/Computational Methods of Engineering"
"T11040","Data Engineering","T11006","Appl.Mathematics/Computational Methods of Engineering"
"T11030","Engineering Mathematics","T11006","Appl.Mathematics/Computational Methods of Engineering"
"T15044","Engineering Fluid Dynamics","T15001","Theoretical and Applied Mechanics"
"T15036","Vibration, Dynamical Systems, Control","T15001","Theoretical and Applied Mechanics"
"T15010","Solid Mechanics","T15001","Theoretical and Applied Mechanics"
"T17050","Aerospace Technology and Astronautics","T17004","Mechanical Engineering"
"T17048","Engine Technology","T17004","Mechanical Engineering"
"T17047","Automotive Engineering","T17004","Mechanical Engineering"
"T17039","Machinery and Machine Elements","T17004","Mechanical Engineering"
"T17020","Engineering Design","T17004","Mechanical Engineering"
"T22032","Quality Control, Reliability, Safety and Risk","T22008","Industrial and Production Engineering"
"T22050","Manufacturing, Machines, Tools, Processes","T22008","Industrial and Production Engineering"
"T22016","Engineering Economics, Organization, Logistics, Marketing","T22008","Industrial and Production Engineering"
"T19030","Mechatronics","T19000","Control , Robotics, Mechatronics"
"T19020","Robotics and Automation","T19000","Control , Robotics, Mechatronics"
"T19010","Control","T19000","Control , Robotics, Mechatronics"
"T23063","Facility Management","T23004","Civil Engineering"
"T23070","Offshore Engineering","T23004","Civil Engineering"
"T23120","Transportation Technology and Traffic Engineering","T23004","Civil Engineering"
"T23130","Fire Science, Hazard Control, Building Safety","T23004","Civil Engineering"
"T23080","Building Physics, HVAC","T23004","Civil Engineering"
"T23090","Solid Construction","T23004","Civil Engineering"
"T23100","Light Construction, Steel Construction, Timber Construction","T23004","Civil Engineering"
"T23110","Building Law","T23004","Civil Engineering"
"T23140","Surveying","T23004","Civil Engineering"
"T23012","Building Construction, HVAC, Refrigeration","T23004","Civil Engineering"
"T23020","Geoengineering, Foundations, Hydraulics","T23004","Civil Engineering"
"T23039","Facility Management, Economics","T23004","Civil Engineering"
"T23047","Building Materials","T23004","Civil Engineering"
"T23055","Building Repair and Maintenance","T23004","Civil Engineering"
"T24080","Cyber-physical systems, IoT","T24000","Electrical Engineering"
"T24068","Circuits and Systems","T24000","Electrical Engineering"
"T24100","Wireless and Mobile Communication","T24000","Electrical Engineering"
"T24070","Power Electronics, Electrical Machines and Networks","T24000","Electrical Engineering"
"T24027","Electronics and Microelectronics, Instrumentation","T24000","Electrical Engineering"
"T24035","Communications Engineering, Networks","T24000","Electrical Engineering"
"T24051","Signal,Image and Speech Processing","T24000","Electrical Engineering"
"T24019","Microwaves, RF and Optical Engineering","T24000","Electrical Engineering"
"U33000","Environmental Biotechnology","U","Environment"
"U31001","Waste Management/Waste Technology","U","Environment"
"U34000","Sustainable Development","U","Environment"
"U35000","Pollution, general","U","Environment"
"U36000","Marine & Freshwater Sciences","U","Environment"
"U37000","Environmental Philosophy","U","Environment"
"U38000","Environmental Politics","U","Environment"
"U39000","Natural Resources","U","Environment"
"U00009","Environment, general","U","Environment"
"U12007","Climate Change","U","Environment"
"U13003","Effects of Radiation/Radiation Protection","U","Environment"
"U1400X","Environmental Computing/Environmental Modelling","U","Environment"
"U16002","Environmental Law","U","Environment"
"U17009","Environmental Management","U","Environment"
"U18005","Environmental Medicine/Environmental Psychology","U","Environment"
"U19001","Environmental Physics","U","Environment"
"U21006","Geoecology/Natural Processes","U","Environment"
"U24005","Math. Appl. in Environmental Science","U","Environment"
"U25001","Monitoring/Environmental Analysis/Environmental Ecotoxicology","U","Environment"
"U26008","Nature Conservation","U","Environment"
"U27004","Noise Control","U","Environment"
"U28000","Soil Science & Conservation","U","Environment"
"U15000","Environmental Chemistry","U","Environment"
"W48010","Natural Resource Economics","W48000","Environmental Economics"
"U21010","Paleoecology","U21006","Geoecology/Natural Processes"
"J15010","Urban Geography/Urbanism","J15000","Landscape/Regional and Municipal Planning"
"W37000","Labor Economics","W","Economics"
"W33000","International Economics","W","Economics"
"W31000","Microeconomics","W","Economics"
"W38000","Population Economics","W","Economics"
"W34000","Public Economics","W","Economics"
"W43000","R &amp; D/Technology Policy","W","Economics"
"W49000","Regional/Spatial Science","W","Economics"
"W28000","Methodology/History of Economic Thought","W","Economics"
"W47000","Agricultural Economics","W","Economics"
"W39000","Law and Economics","W","Economics"
"W52000","Sports Economics","W","Economics"
"W51000","Cultural Economics","W","Economics"
"W36000","Education Economics","W","Economics"
"W41000","Economic History","W","Economics"
"W45000","Economy-wide Country Studies","W","Economics"
"W53000","Heterodox Economics","W","Economics"
"W54000","Behavioral/Experimental Economics","W","Economics"
"W55000","Maritime Economics","W","Economics"
"W35000","Health Economics","W","Economics"
"W48000","Environmental Economics","W","Economics"
"W00000","Economics, general","W","Economics"
"W12006","Economics general","W","Economics"
"W42000","Development Economics","W","Economics"
"W44000","Economic Growth","W","Economics"
"W46000","Economic Systems","W","Economics"
"W29000","Theory/Quantitative Economics/Mathematical Methods","W","Economics"
"W32000","Macroeconomics/Monetary Economics/Financial Economics","W","Economics"
"W12257","Financial Economics","W12006","Economics general"
"W12248","Game Theory/Mathematical Methods","W12006","Economics general"
"W29030","Behavioral/Experimental Economics","W29000","Theory/Quantitative Economics/Mathematical Methods"
"W29010","Econometrics","W29000","Theory/Quantitative Economics/Mathematical Methods"
"W29020","Game Theory","W29000","Theory/Quantitative Economics/Mathematical Methods"
"W33010","European Integration","W33000","International Economics"
"W31010","Industrial Organization","W31000","Microeconomics"
"W31020","Social Choice/Welfare Economics/Public Choice","W31000","Microeconomics"
"W34010","Economic Policy","W34000","Public Economics"
"W34020","Social Policy","W34000","Public Economics"
"W34030","Public Administration","W34000","Public Economics"
"W49020","Irish Economics","W49000","Regional/Spatial Science"
"W49010","Urban Economics ","W49000","Regional/Spatial Science"
"W23040","Management/Business for Professionals","500000","Business and Management, general"
"511010","Business Taxation/Tax Law","511000","Accounting/Auditing"
"511020","Corporate Governance","511000","Accounting/Auditing"
"513060","Consumer Behavior","513000","Marketing"
"513010","Online Marketing/Social Media","513000","Marketing"
"513050","Customer Relationship Management","513000","Marketing"
"513020","Media Management","513000","Marketing"
"513040","Corporate Communication/Public Relations","513000","Marketing"
"513030","Market Research/Competitive Intelligence","513000","Marketing"
"513070","Branding","513000","Marketing"
"517060","Diversity Management/Women in Business","517000","Human Resource Management"
"517010","Human Resource Development","517000","Human Resource Management"
"517030","Coaching","517000","Human Resource Management"
"517020","Careers in Business and Mangagement","517000","Human Resource Management"
"517050","Employee Health and Wellbeing","517000","Human Resource Management"
"517040","Management Education","517000","Human Resource Management"
"522060","e-Business/e-Commerce","522000","IT in Business"
"522050","Software Management","522000","IT in Business"
"522040","Business IT Infrastructure","522000","IT in Business"
"522070","Big Data/Analytics","522000","IT in Business"
"522010","Enterprise Architecture","522000","IT in Business"
"522030","Business Information Systems","522000","IT in Business"
"522020","Business Process Management","522000","IT in Business"
"X38000","Development Studies","X00000","Social Sciences"
"911250","Politics and Religion","911000","Political Science"
"911240","Legislative and Executive Politics","911000","Political Science"
"911230","Political Leadership","911000","Political Science"
"911220","Governance and Government","911000","Political Science"
"911210","French Politics","911000","Political Science"
"911270","Urban Politics","911000","Political Science"
"911030","Political Communication","911000","Political Science"
"911040","Comparative Politics","911000","Political Science"
"911020","Political Economy","911000","Political Science"
"911010","Political Theory","911000","Political Science"
"911190","German Politics","911000","Political Science"
"911180","US Politics","911000","Political Science"
"911170","Russian and Post-Soviet Politics","911000","Political Science"
"911260","Politics and Gender","911000","Political Science"
"911150","Latin American Politics","911000","Political Science"
"911140","European Union Politics","911000","Political Science"
"911130","European Politics","911000","Political Science"
"911120","British Politics","911000","Political Science"
"911110","Asian Politics","911000","Political Science"
"911090","African Politics","911000","Political Science"
"911080","Political History","911000","Political Science"
"911070","Electoral Politics","911000","Political Science"
"911050","Democracy","911000","Political Science"
"911060","Public Policy","911000","Political Science"
"911160","Middle Eastern Politics","911000","Political Science"
"X22045","Area Studies","X22000","Sociology, general"
"X22130","Historical Sociology","X22000","Sociology, general"
"X22140","Social Theory","X22000","Sociology, general"
"X22150","Medical Sociology","X22000","Sociology, general"
"X22160","Environmental Sociology","X22000","Sociology, general"
"X22170","Political Sociology","X22000","Sociology, general"
"X22180","Ethnicity Studies","X22000","Sociology, general"
"X22190","Research Methodology","X22000","Sociology, general"
"X22210","Sociology of Religion","X22000","Sociology, general"
"X22220","Sociology of Sport and Leisure","X22000","Sociology, general"
"X22230","Sociology of the Body","X22000","Sociology, general"
"X22240","Sociology of Work","X22000","Sociology, general"
"X22250","Urban Studies/Sociology","X22000","Sociology, general"
"X22260","Sociology of Racism","X22000","Sociology, general"
"X22270","Science and Technology Studies","X22000","Sociology, general"
"X22280","Disability Studies","X22000","Sociology, general"
"X22290","Sociology of Citizenship","X22000","Sociology, general"
"X22300","Ethics and Values in Social Work","X22000","Sociology, general"
"X22310","Life course","X22000","Sociology, general"
"X22010","Social Structure, Social Inequality","X22000","Sociology, general"
"X22020","Organizational Studies, Economic Sociology","X22000","Sociology, general"
"X22040","Cultural Studies","X22000","Sociology, general"
"X22050","Cultural Management","X22000","Sociology, general"
"X29000","Media Research","X22000","Sociology, general"
"X22060","Sociological Theory","X22000","Sociology, general"
"X22070","Sociology of Educationm","X22000","Sociology, general"
"X22080","Sociology of Familiy, Youth and Aging","X22000","Sociology, general"
"X22090","Childhood, Adolescence and Society","X22000","Sociology, general"
"X22100","Sociology of Culture","X22000","Sociology, general"
"X22110","Media Sociology","X22000","Sociology, general"
"X22120","Knowledge - Discourse","X22000","Sociology, general"
"Y46000","Religion and Psychology","Y","Psychology"
"Y43000","Psychometrics","Y","Psychology"
"Y34000","Law and Psychology","Y","Psychology"
"Y28000","History of Psychology","Y","Psychology"
"Y45000","Sport Psychology","Y","Psychology"
"Y18003","Pedagogic Psychology","Y","Psychology"
"Y12005","Clinical Psychology","Y","Psychology"
"Y00007","Psychology, general","Y","Psychology"
"Y44000","Positive Psychology","Y","Psychology"
"Y20000","Psychology Research","Y00007","Psychology, general"
"Y47000","Behavioral Genetics","Y00007","Psychology, general"
"Y12030","Neuropsychology","Y12005","Clinical Psychology"
"Y12060","Counselling and Interpersonal Skills","Y12005","Clinical Psychology"
"Y12010","Psychotherapy and Counseling","Y12005","Clinical Psychology"
"Y12080","Integrative and pluralistic approach","Y12005","Clinical Psychology"
"Y12070","Existential approach","Y12005","Clinical Psychology"
"Y12040","Child and School Psychology","Y12005","Clinical Psychology"
"Y12050","Infancy and Early Childhood Development","Y12005","Clinical Psychology"
"Y12020","Health Psychology","Y12005","Clinical Psychology"
"V20000","Humanities, general","V","Design"
"V23000","Interdisciplinary Studies","V","Design"
"E11010","Philosophy of Music","E11000","Aesthetics"
"E14030","Engineering Ethics","E14000","Ethics"
"E14020","Agricultural Ethics","E14000","Ethics"
"E14010","Bioethics","E14000","Ethics"
"E14040","Research Ethics","E14000","Ethics"
"E14050","Business Ethics","E14000","Ethics"
"E34020","Philosophy of Mathematics","E34000","Philosophy of Science"
"E34010","Philosophy of Biology","E34000","Philosophy of Science"
"E34050","Philosophy of Technology","E34000","Philosophy of Science"
"E34040","Philosophy of Nature","E34000","Philosophy of Science"
"E34030","Philosophy of Medicine","E34000","Philosophy of Science"
"H67010","Animal Welfare/Animal Ethics","H67000","Veterinary Medicine"
"H67020","Veterinary Microbiology, Parasitology and Infectious Diseases","H67000","Veterinary Medicine"
"W28020","Heterodox Economics","W28000","Methodology/History of Economic Thought"
"514030","Start-Ups/Venture Capital","514000","Entrepreneurship"
"514020","Family Business","514000","Entrepreneurship"
"514010","Small Business","514000","Entrepreneurship"
"O13000","International and Comparative Education","O","Education"
"O15000","Curriculum Studies","O","Education"
"O17000","Administration, Organization and Leadership","O","Education"
"O19000","Educational Policy and Politics","O","Education"
"O21000","Educational Technology","O","Education"
"O22000","Learning & Instruction","O","Education"
"O00000","Education (general)","O","Education"
"O11000","Arts Education","O","Education"
"O36000","Higher Education","O","Education"
"O37000","Childhood Education","O","Education"
"O38000","Educational Philosophy","O","Education"
"O43000","Engineering/Technology Education","O","Education"
"O23000","Language Education","O","Education"
"O25000","Mathematics Education","O","Education"
"O26000","Medical Education","O","Education"
"O27000","Science Education","O","Education"
"O29000","Sociology of Education","O","Education"
"O31000","Teaching and Teacher Education","O","Education"
"O33000","Assesment, Testing & Evaluation","O","Education"
"O35000","Professional & Vocational Education","O","Education"
"O48000","Environmental and Sustainability Education","O","Education"
"O49000","Ethnicity in Education","O","Education"
"O51000","Alternative Education","O","Education"
"O52000","Schools and Schooling","O","Education"
"O53000","Skills","O","Education"
"O54000","Research Methods in Education","O","Education"
"O44000","History of Education","O","Education"
"O45000","Gender and Education","O","Education"
"O46000","Language Teaching","O","Education"
"O47000","Technology and Digital Education","O","Education"
"O42000","Lifelong Learning/Adult Education","O00000","Education (general)"
"O40000","Literacy","O00000","Education (general)"
"O41000","Religion and Education","O00000","Education (general)"
"O39000","Educational Psychology","O00000","Education (general)"
"J19000","World Regional Geography","J","Geography"
"J16000","Physical Geography","J","Geography"
"J13000","Geoinformation/Cartography","J","Geography"
"J00000","Geography","J","Geography"
"J21000","Medical Geography","J","Geography"
"J12000","Economic Geography","J","Geography"
"J15000","Landscape/Regional and Municipal Planning","J","Geography"
"J16020","Polar Geography","J16000","Physical Geography"
"J16010","Geomorphology","J16000","Physical Geography"
"411210","Culture and Gender","411000","Regional and Cultural Studies"
"411180","Culture and Technology","411000","Regional and Cultural Studies"
"411170","Popular Culture","411000","Regional and Cultural Studies"
"411160","Global/International Culture","411000","Regional and Cultural Studies"
"411150","Australasian Culture","411000","Regional and Cultural Studies"
"411250","Comics Studies","411000","Regional and Cultural Studies"
"411240","Celebrity Studies","411000","Regional and Cultural Studies"
"411230","Comedy Studies","411000","Regional and Cultural Studies"
"411140","Youth Culture","411000","Regional and Cultural Studies"
"411220","Gothic Studies","411000","Regional and Cultural Studies"
"411130","Cultural Theory","411000","Regional and Cultural Studies"
"411010","American Culture","411000","Regional and Cultural Studies"
"411020","African American Culture","411000","Regional and Cultural Studies"
"411030","African Culture","411000","Regional and Cultural Studies"
"411040","Asian Culture","411000","Regional and Cultural Studies"
"411050","British Culture","411000","Regional and Cultural Studies"
"411060","Cultural Anthropology","411000","Regional and Cultural Studies"
"411070","European Culture","411000","Regional and Cultural Studies"
"411080","Latin American Culture","411000","Regional and Cultural Studies"
"411090","Latino Culture","411000","Regional and Cultural Studies"
"411110","Middle Eastern Culture","411000","Regional and Cultural Studies"
"411120","Cultural Policy","411000","Regional and Cultural Studies"
"416020","Experimental Film","416000","Arts"
"416010","Fine Arts","416000","Arts"
"N63000","Slang and Jargon","N","Linguistics"
"N64000","Language Policy and Planning","N","Linguistics"
"N65000","Bilingualism","N","Linguistics"
"N66000","Language and Gender","N","Linguistics"
"N67000","Minority Languages","N","Linguistics"
"N68000","Intercultural Communication","N","Linguistics"
"N00000","Linguistics, general","N","Linguistics"
"N11000","African Languages","N","Linguistics"
"N12000","Ameri-Indian Languages","N","Linguistics"
"N13000","Applied Linguistics","N","Linguistics"
"N14000","Arabic","N","Linguistics"
"N15000","Asian Languages","N","Linguistics"
"N16000","Austronesian Languages","N","Linguistics"
"N17000","Celtic","N","Linguistics"
"N18000","Chinese","N","Linguistics"
"N19000","Comparative Linguistics","N","Linguistics"
"N22000","Computational Linguistics","N","Linguistics"
"N23000","Germanic Languages","N","Linguistics"
"N24000","Grammar","N","Linguistics"
"N25000","Greek","N","Linguistics"
"N26000","Historical Linguistics","N","Linguistics"
"N27000","Indo-Iranian Languages","N","Linguistics"
"N28000","Japanese","N","Linguistics"
"N29000","Language and Literature","N","Linguistics"
"N32000","Oriental Languages","N","Linguistics"
"N33000","Philology","N","Linguistics"
"N34000","Phonology","N","Linguistics"
"N35000","Psycholinguistics","N","Linguistics"
"N36000","Romance Languages","N","Linguistics"
"N37000","Russian","N","Linguistics"
"N38000","Scandinavian","N","Linguistics"
"N39000","Semantics","N","Linguistics"
"N41000","Semitic Languages","N","Linguistics"
"N42000","Sign Language","N","Linguistics"
"N43000","Slavic and Baltic Languages","N","Linguistics"
"N44000","Sociolinguistics","N","Linguistics"
"N45000","Syntax","N","Linguistics"
"N46000","Theoretical Linguistics","N","Linguistics"
"N47000","Translation","N","Linguistics"
"N48000","Uralic-Altaic Languages","N","Linguistics"
"N49000","English","N","Linguistics"
"N51000","Discourse Analysis","N","Linguistics"
"N52000","Lexicology/Vocabulary","N","Linguistics"
"N53000","Semiotics","N","Linguistics"
"N54000","Pragmatics","N","Linguistics"
"N55000","Multilingualism","N","Linguistics"
"N56000","Stylistics","N","Linguistics"
"N57000","Morphology","N","Linguistics"
"N58000","Cognitive Linguistics","N","Linguistics"
"N59000","Corpus Linguistics","N","Linguistics"
"N61000","Language History","N","Linguistics"
"N62000","Language Change","N","Linguistics"
"N70000","Research Methods in Language and Linguistics","N00000","Linguistics, general"
"N13010","Language Education","N13000","Applied Linguistics"
"N13020","Language Acquisition and Development","N13000","Applied Linguistics"
"N23010","German","N23000","Germanic Languages"
"N36010","Italian","N36000","Romance Languages"
